# Census of all observations
# manual assessment of number of good dishes
# and number of good beams (i.e., missed cals, clear bw issue)
# i am conservative with dishes - if there are sawtooth
# residual delays, i mark that as bad,
# presuming it might fail with reprocessing / ccal QA
# 
# Extra notes
# 20111034-201115001 heavily imapcted by RFI (beamweights? radar?)
# calibration / bandpass not super trustworthy
# Also 201116016 (not cals, but data itself). And same for latter in Nob
# Will do a separate RFI view (did some work on that before)
# 
taskID,name,goodtelescopes,n_goodbeams,processed
210219080,S1137+5324,23456789ABCD,40,True
210220001,S0001+2904,23456789ABCD,40,True
210221037,S2053+3622,23456789ABCD,40,True
210221078,S1155+5324,23456789ABCD,40,True
210222001,S0008+3356,23456789ABCD,40,True
210223036,S2107+3848,23456789ABCD,40,True
210223077,S1242+5058,23456789ABCD,40,True
210224001,S0014+2904,23456789ABCD,40,True
210225034,M2214+3130,23456789ABCD,40,True
210225075,M1315+3356,23456789ABCD,40,True
210226001,S0052+2904,23456789ABCD,40,True
210227033,S2130+4340,23456789ABCD,40,True
210227074,S1245+5815,23456789ABCD,40,True
210228001,S0024+3130,23456789ABCD,40,True
210301031,S2146+4340,23456789ABCD,40,True
210301072,S1300+5058,23456789ABCD,40,True
210302001,S0037+3130,23456789ABCD,40,True
210303029,S2146+4340,23456789ABCD,40,True
210303070,S1308+5324,23456789ABCD,40,True
210304001,S0050+3130,23456789ABCD,40,True
210305028,S2201+4340,2456789ABCD,39,True
210305069,S1317+5058,2456789ABCD,39,True
210306001,S0048+3356,2456789ABCD,39,True
210307026,S2346+5324,2456789ABCD,40,True
210307067,S1435+3356,2456789ABCD,40,True
210308001,S0220+2904,2456789ABCD,40,True
210317014,M1259+2638,23456789ABCD,40,True
210318050,M1247+2638,23456789ABCD,40,True
210319053,M1247+2638,23456789ABCD,40,True
210320051,M1259+2638,23456789ABCD,40,True
210321043,M1301+3356,23456789ABCD,40,True
210322041,M1304+2904,23456789ABCD,40,True
210324042,M1247+2638,23456789ABCD,40,False
210325047,M1252+2904,23456789ABCD,40,False
210326041,M1259+2638,23456789ABCD,40,False
210327041,M1259+2638,23456789ABCD,40,False
210328041,M1301+3356,23456789ABCD,40,False
210329041,M1304+2904,23456789ABCD,40,False
210401086,M1247+2638,23456789AB,40,False
210402050,M1252+2904,23456789AB,40,False
210403053,M1259+2638,23456789AB,40,False
210404050,M1301+3356,23456789AB,40,False
210405044,M1304+2904,23456789AB,40,False
210407001,S2130+4340,23456789ABCD,40,False
210407042,S1232+5324,23456789ABCD,40,False
210408001,S0004+5324,23456789ABCD,40,False
210408042,S1508+4832,23456789ABCD,40,False
210409001,S0328+3848,23456789ABCD,40,False
210410001,S2137+4114,23456789ABCD,40,False
210410042,S1239+5550,23456789ABCD,40,False
210411043,S1155+5324,23456789ABCD,40,False
210412001,S0334+4340,23456789ABCD,40,False
210413001,M2214+3130,23456789ABCD,40,False
210413042,S1326+5815,23456789ABCD,40,False
210414001,S0341+4114,23456789ABCD,40,False
210415001,S2149+3848,23456789ABCD,39,False
210415042,S1250+5324,23456789ABCD,39,False
210416001,S0349+4340,23456789ABCD,39,False
210417001,S2152+4114,23456789ABCD,40,False
210417042,S1300+5058,23456789ABCD,40,False
210418001,S0405+4340,23456789ABCD,40,False
210419001,S2154+4606,23456789ABCD,40,False
210419042,S1259+5550,23456789ABCD,40,False
210428048,M1243+3130,3456789ABCD,40,True
210429041,M1247+2638,3456789ABCD,40,True
210430041,M1248+3356,3456789ABCD,40,True
210501041,M1252+2904,3456789ABCD,39,True
210502041,M1256+3130,3456789ABCD,39,True
210503041,M1259+2638,3456789ABCD,39,True
210505001,S2202+3622,3456789ABCD,40,True
210505002,M1301+3356,3456789ABCD,40,True
210506041,M1304+2904,3456789ABCD,40,True
210507041,M1309+3130,3456789ABCD,40,True
210508041,M1309+3130,3456789ABCD,40,True
210509041,M1312+2638,345789AB,40,True
210511001,M2214+3130,23456789ABC,40,True
210513042,S2207+4114,23456789AB,40,True
210513083,S1308+5324,23456789AB,40,True
210515001,S2215+3622,23456789ABCD,40,True
210515042,S1308+5324,23456789ABCD,40,True
210516041,S1215+6041,23456789ABCD,40,True
210517041,S1026+6041,23456789ABCD,40,True
210519126,S1452+4832,23456789ABC,40,True
210520001,S1103+5550,23456789ABC,40,True
210521041,S1021+5815,23456789ABC,40,True
210521042,S2216+4340,23456789ABC,40,True
210522041,S2218+3848,23456789ABC,40,True
210523041,S1317+5058,23456789ABC,40,True
210524001,S0100+3622,23456789ABC,40,True
210524042,S2221+4114,23456789ABC,40,True
210525041,S1326+5324,23456789ABC,40,True
210604086,M1243+3130,2345679AB,40,True
210605051,M1247+2638,234567AB,40,False
210606053,M1248+3356,234567AB,40,False
210607051,M1252+2904,234567AB,40,False
210609086,M1256+3130,234567AB,40,False
210610050,M1259+2638,234567AB,40,False
210611053,M1301+3356,234567AB,40,False
210612050,M1304+2904,234567AB,40,False
210613044,M1309+3130,234567AB,40,False
210622126,S1435+4832,23456789AB,40,True
210623001,S0233+2904,23456789AB,40,True
210623042,M2214+3130,23456789AB,40,True
210624041,S1318+5550,23456789AB,40,True
210625001,S0104+2904,23456789AB,40,True
210625042,S2221+3356,23456789AB,40,True
210707126,S2227+3130,23456789AB,40,False
210708042,S0117+2904,23456789AB,40,False
210709041,S2229+3622,2345678AB,40,False
210710041,S1326+5815,2345678AB,40,False
210710042,S0103+3130,2345678AB,40,False
210711041,S2232+3848,2345678A,40,False
210714168,S1553+5058,23456789AB,40,False
210715041,S2236+4114,23456789AB,40,False
210716041,S1320+6041,23456789AB,40,False
210716042,S0121+3848,23456789AB,40,False
210717041,S2240+3130,2345678AB,40,False
210718041,S1345+5324,2345678AB,40,False
210718042,S0130+2904,2345678B,40,False
210719041,S2243+3622,2345678B,40,False
210721087,M1317+2904,2345678A,40,False
210722041,M1243+3130,2345678A,40,False
210723041,M1247+2638,2345678A,40,False
210724041,M1248+3356,2345678A,40,False
210725041,M1252+2904,2345678A,40,False
210726041,M1256+3130,234567A,40,False
210729042,M1243+3130,23456789,40,False
210730041,M1247+2638,23456789,40,False
210731041,M1248+3356,23456789,40,False
210801041,M1252+2904,23456789,40,False
210802041,M1256+3130,23456789A,40,False
210804125,M2214+3130,2345678AB,40,False
210805041,S1305+5815,234567AB,40,False
210805042,S0101+3356,234567AB,40,False
210806041,S2235+3356,234567AB,40,False
210807041,S1334+5058,234567AB,40,False
210807042,S0116+3130,234567AB,40,False
210808041,S2245+2904,234567AB,40,False
210819125,S2208+3356,23456789ABCD,40,False
210820041,S1258+6041,23456789AB,40,False
210820042,S0039+2904,23456789AB,40,False
210821041,S2246+3848,2345678AB,40,False
210822041,S1352+5058,2345678AB,40,False
210822042,S0116+4114,2345678AB,40,False
210827042,M1304+2904,23456789AB,40,False
210828041,M1309+3130,23456789AB,40,False
210829041,M1309+3130,23456789AB,40,False
210830041,M1315+3356,23456789AB,40,False
210901085,M2214+3130,23456789BCD,40,False
210902041,S1300+6307,234567B,40,False
210902042,S0107+3848,234567B,40,False
210903041,S1611+5058,234567B,40,False
210903042,S0342+3848,234567B,40,False
210904041,S2248+3356,234567AB,40,False
210905041,S1337+5550,234567B,40,False
210905042,S0130+4114,234567B,40,False
210906041,S2253+3130,234567AB,40,False
210907041,S1356+5550,234567AB,40,False
210908043,M1328+3356,234567AB,40,False
210911041,M1342+2904,2345678AB,40,False
210912041,M1341+3356,2345678AB,40,False
210914041,M1348+3130,345678AB,40,False
