taskid,beam,cont_pass,pol_pass,pol_V_pass,pol_QU_pass,HI_all_good,HI_all_good_ok,HI_c2_good_ok,HI_c2_good,HI_pass,all_pass,s_in,s_out,rat,N2,Ex-2,pol_s_in,pol_s_out,pol_rat,pol_N2,pol_Ex-2,pol_ftmax,pol_peak_in,pol_P2,pol_bmin,Q_bm_fg,U_bm_fg,Q_st_fg,U_st_fg,Field
190914041,20,True,True,True,True,False,False,True,True,False,False,48.4,41.1,1.18,2.1,278.0,41.0,40.4,1.01,1.1,693.0,5.2,752.1,1.0,0.2,0.08,0.08,0.12,0.12,S2332+3130
190914041,21,True,True,True,True,False,False,True,True,False,False,49.9,43.2,1.16,1.8,221.0,47.0,44.4,1.06,1.3,859.0,6.6,525.0,1.3,-0.2,0.08,0.08,0.08,0.08,S2332+3130
190914041,26,True,True,True,True,False,False,True,True,False,True,41.8,36.3,1.15,1.9,230.0,37.4,36.2,1.03,1.1,708.0,6.1,1140.5,1.0,-0.2,0.08,0.08,0.08,0.08,S2332+3130
190914041,30,True,True,True,True,False,True,True,True,False,False,40.1,33.1,1.21,2.4,368.0,35.0,33.2,1.05,1.2,846.0,5.1,617.8,1.2,-0.4,0.08,0.08,0.08,0.08,S2332+3130
190914041,31,True,True,True,True,False,False,True,True,False,False,38.1,34.1,1.12,1.6,174.0,35.3,34.4,1.02,1.1,727.0,5.4,685.7,1.1,0.1,0.08,0.08,0.08,0.08,S2332+3130
190914041,34,True,True,True,True,False,False,False,False,False,True,46.4,38.5,1.2,2.2,330.0,41.5,38.4,1.08,1.0,697.0,6.9,3687.5,1.0,1.6,0.08,0.08,0.08,0.08,S2332+3130
190914041,35,True,True,True,True,False,False,True,True,False,True,42.9,36.0,1.19,2.1,292.0,37.4,35.7,1.05,1.1,764.0,5.1,946.1,1.1,1.1,0.08,0.08,0.08,0.08,S2332+3130
190914041,36,True,True,True,True,False,False,True,True,False,False,40.1,34.5,1.16,1.9,248.0,36.2,35.1,1.03,1.1,711.0,3.8,1251.8,1.1,0.8,0.08,0.08,0.12,0.12,S2332+3130
190914041,37,True,True,True,True,False,False,True,False,False,False,41.8,36.7,1.14,1.8,215.0,37.2,37.0,1.0,1.0,680.0,5.9,656.0,1.0,1.1,0.12,0.12,0.12,0.12,S2332+3130
190914041,38,True,False,True,False,False,False,False,False,False,False,54.9,50.8,1.08,1.4,106.0,51.0,50.5,1.01,1.0,678.0,7.8,1358.4,1.0,-0.2,0.92,0.92,0.12,0.12,S2332+3130
190915041,1,True,True,True,True,True,True,True,True,True,True,48.2,41.8,1.16,1.8,307.0,43.9,42.6,1.03,1.1,1050.0,6.9,709.0,1.1,1.2,0.08,0.08,0.08,0.12,S1435+5550
